EXISTING_SITES;3G;4G;5G
C0;1;1;0
C1;1;1;0
C10;1;1;0
C11;1;1;0
C12;1;1;0
C13;1;1;0
C14;1;1;0
C15;1;1;0
C16;1;1;0
C17;1;1;0
C18;1;1;0
C19;1;1;0
C2;1;1;0
C20;1;1;0
C21;1;1;0
C22;1;1;0
C23;1;1;0
C24;1;1;0
C25;1;1;0
C26;1;1;0
C27;1;1;0
C28;1;1;0
C29;1;1;0
C3;1;1;0
C30;1;1;0
C31;1;1;0
C32;1;1;0
C33;1;1;0
C34;1;1;0
C35;1;1;0
C36;1;1;0
C37;1;1;0
C38;1;1;0
C39;1;1;0
C4;1;1;0
C40;1;1;0
C41;1;1;0
C42;1;1;0
C43;1;1;0
C44;1;1;0
C45;1;1;0
C46;1;1;0
C47;1;1;0
C48;1;1;0
C49;1;1;0
C5;1;1;0
C6;1;1;0
C7;1;1;0
C8;1;1;0
C9;1;1;0
